iter	Passed	Remaining
0	43	43341
1	86	42972
2	166	55205
3	183	45729
4	207	41238
5	223	37028
6	248	35280
7	269	33373
8	297	32728
9	322	31962
10	349	31390
11	411	33897
12	433	32910
13	466	32861
14	486	31952
15	496	30543
16	539	31169
17	570	31115
18	590	30499
19	610	29903
20	627	29272
21	664	29527
22	680	28895
23	706	28723
24	771	30082
25	791	29646
26	812	29288
27	840	29165
28	848	28412
29	862	27872
30	893	27930
31	925	27986
32	952	27924
33	1007	28636
34	1054	29078
35	1118	29956
36	1146	29845
37	1188	30094
38	1220	30078
39	1261	30281
40	1289	30161
41	1309	29870
42	1318	29351
43	1336	29028
44	1344	28527
45	1355	28107
46	1363	27646
47	1372	27219
48	1380	26789
49	1388	26385
50	1395	25972
51	1404	25599
52	1412	25234
53	1420	24891
54	1428	24541
55	1435	24197
56	1442	23857
57	1449	23536
58	1456	23230
59	1463	22932
60	1471	22652
61	1479	22390
62	1488	22134
63	1497	21894
64	1504	21644
65	1513	21420
66	1521	21184
67	1528	20947
68	1536	20727
69	1543	20507
70	1551	20294
71	1558	20084
72	1566	19892
73	1573	19694
74	1581	19505
75	1588	19317
76	1597	19148
77	1604	18966
78	1612	18797
79	1619	18625
80	1628	18472
81	1635	18307
82	1642	18149
83	1649	17989
84	1657	17837
85	1664	17686
86	1671	17541
87	1678	17396
88	1685	17252
89	1692	17117
90	1699	16977
91	1729	17066
92	1751	17079
93	1783	17187
94	1809	17237
95	1821	17155
96	1831	17050
97	1859	17113
98	1882	17134
99	1901	17114
100	1918	17080
101	1943	17109
102	1978	17233
103	1989	17139
104	1998	17037
105	2010	16957
106	2025	16900
107	2036	16816
108	2053	16789
109	2081	16837
110	2093	16768
111	2104	16685
112	2114	16599
113	2157	16768
114	2166	16673
115	2175	16577
116	2202	16622
117	2211	16528
118	2232	16526
119	2250	16500
120	2265	16456
121	2286	16456
122	2326	16589
123	2343	16554
124	2361	16528
125	2380	16511
126	2392	16445
127	2407	16402
128	2429	16405
129	2453	16416
130	2476	16426
131	2491	16386
132	2557	16671
133	2570	16613
134	2596	16636
135	2638	16764
136	2700	17009
137	2727	17037
138	2736	16949
139	2756	16931
140	2775	16908
141	2787	16841
142	2796	16756
143	2807	16688
144	2830	16688
145	2915	17051
146	2938	17049
147	2987	17197
148	3007	17175
149	3031	17176
150	3040	17094
151	3052	17028
152	3060	16944
153	3072	16876
154	3080	16791
155	3088	16709
156	3096	16623
157	3105	16548
158	3113	16469
159	3122	16390
160	3129	16309
161	3136	16226
162	3145	16150
163	3153	16075
164	3161	15997
165	3170	15931
166	3179	15859
167	3188	15788
168	3195	15714
169	3205	15648
170	3213	15579
171	3221	15508
172	3229	15437
173	3237	15370
174	3246	15304
175	3253	15231
176	3260	15159
177	3267	15091
178	3274	15019
179	3282	14954
180	3289	14886
181	3297	14821
182	3305	14757
183	3313	14695
184	3320	14629
185	3328	14566
186	3335	14502
187	3343	14439
188	3350	14377
189	3358	14318
190	3365	14255
191	3373	14196
192	3385	14157
193	3395	14107
194	3404	14053
195	3411	13995
196	3427	13971
197	3437	13921
198	3445	13867
199	3452	13809
200	3459	13751
201	3467	13696
202	3476	13648
203	3503	13669
204	3543	13740
205	3550	13683
206	3560	13639
207	3596	13695
208	3607	13652
209	3615	13599
210	3624	13552
211	3632	13503
212	3643	13461
213	3651	13413
214	3702	13518
215	3731	13544
216	3774	13619
217	3848	13805
218	3864	13781
219	3918	13893
220	3988	14059
221	4010	14053
222	4088	14244
223	4157	14404
224	4184	14411
225	4233	14499
226	4310	14680
227	4377	14820
228	4410	14850
229	4490	15034
230	4499	14980
231	4538	15023
232	4546	14967
233	4594	15038
234	4641	15110
235	4680	15150
236	4738	15256
237	4762	15246
238	4771	15191
239	4782	15143
240	4855	15291
241	4884	15299
242	4907	15288
243	4942	15313
244	4999	15406
245	5028	15411
246	5048	15390
247	5056	15332
248	5067	15283
249	5097	15291
250	5137	15330
251	5146	15277
252	5162	15242
253	5214	15316
254	5250	15341
255	5292	15381
256	5364	15509
257	5381	15476
258	5400	15449
259	5409	15395
260	5432	15382
261	5440	15324
262	5448	15267
263	5458	15218
264	5466	15161
265	5473	15103
266	5482	15051
267	5490	14995
268	5493	14928
269	5500	14872
270	5509	14821
271	5517	14766
272	5526	14715
273	5533	14662
274	5543	14613
275	5551	14562
276	5559	14511
277	5568	14462
278	5576	14411
279	5584	14360
280	5592	14309
281	5601	14260
282	5609	14212
283	5617	14162
284	5627	14117
285	5641	14083
286	5649	14034
287	5657	13986
288	5665	13938
289	5673	13890
290	5681	13841
291	5689	13796
292	5698	13749
293	5707	13705
294	5714	13656
295	5723	13611
296	5731	13565
297	5739	13520
298	5747	13475
299	5756	13431
300	5764	13387
301	5773	13343
302	5781	13299
303	5789	13254
304	5796	13209
305	5804	13165
306	5813	13121
307	5821	13079
308	5829	13035
309	5837	12992
310	5845	12950
311	5851	12902
312	5859	12861
313	5867	12819
314	5892	12814
315	5930	12837
316	5967	12856
317	5988	12844
318	6008	12826
319	6035	12825
320	6055	12808
321	6072	12786
322	6091	12768
323	6113	12756
324	6133	12738
325	6162	12741
326	6177	12714
327	6207	12716
328	6222	12690
329	6246	12682
330	6261	12656
331	6272	12620
332	6282	12583
333	6300	12563
334	6316	12538
335	6339	12527
336	6362	12516
337	6386	12508
338	6402	12484
339	6410	12444
340	6417	12403
341	6442	12395
342	6453	12361
343	6466	12331
344	6478	12299
345	6505	12296
346	6519	12269
347	6534	12243
348	6549	12217
349	6568	12198
350	6587	12180
351	6612	12172
352	6626	12145
353	6653	12142
354	6670	12119
355	6690	12103
356	6721	12105
357	6730	12069
358	6746	12045
359	6768	12033
360	6781	12004
361	6804	11991
362	6828	11982
363	6850	11969
364	6876	11963
365	6887	11931
366	6897	11896
367	6911	11869
368	6927	11846
369	6984	11892
370	6992	11855
371	7011	11835
372	7039	11832
373	7052	11804
374	7063	11772
375	7072	11737
376	7083	11705
377	7108	11696
378	7138	11697
379	7162	11685
380	7189	11681
381	7208	11661
382	7225	11639
383	7249	11630
384	7267	11608
385	7278	11577
386	7294	11554
387	7307	11526
388	7337	11524
389	7364	11519
390	7419	11555
391	7427	11520
392	7436	11486
393	7459	11473
394	7482	11459
395	7513	11459
396	7529	11436
397	7558	11432
398	7578	11414
399	7592	11388
400	7611	11369
401	7648	11377
402	7663	11353
403	7676	11325
404	7692	11301
405	7710	11280
406	7731	11264
407	7761	11261
408	7778	11240
409	7797	11220
410	7808	11190
411	7820	11161
412	7832	11132
413	7848	11108
414	7859	11078
415	7882	11066
416	7895	11039
417	7903	11003
418	7911	10970
419	7917	10934
420	7956	10942
421	7989	10942
422	8013	10930
423	8025	10902
424	8034	10869
425	8053	10851
426	8072	10833
427	8088	10810
428	8104	10787
429	8123	10768
430	8154	10765
431	8169	10740
432	8183	10715
433	8199	10693
434	8221	10678
435	8313	10754
436	8337	10741
437	8358	10725
438	8388	10719
439	8406	10698
440	8415	10667
441	8424	10635
442	8434	10604
443	8472	10610
444	8504	10606
445	8513	10575
446	8522	10543
447	8550	10535
448	8580	10529
449	8601	10513
450	8628	10503
451	8637	10471
452	8686	10488
453	8694	10456
454	8703	10425
455	8730	10415
456	8759	10407
457	8777	10387
458	8803	10375
459	8833	10369
460	8847	10344
461	8872	10332
462	8893	10314
463	8908	10291
464	8918	10261
465	8944	10249
466	8963	10230
467	8976	10203
468	8989	10177
469	8997	10146
470	9008	10117
471	9017	10087
472	9043	10075
473	9091	10088
474	9100	10057
475	9156	10079
476	9171	10055
477	9198	10045
478	9207	10014
479	9260	10032
480	9295	10029
481	9336	10034
482	9374	10034
483	9381	10002
484	9388	9969
485	9395	9937
486	9418	9920
487	9426	9890
488	9434	9858
489	9448	9833
490	9470	9817
491	9497	9805
492	9517	9788
493	9529	9760
494	9551	9744
495	9560	9714
496	9572	9688
497	9585	9662
498	9594	9632
499	9603	9603
500	9611	9573
501	9621	9544
502	9631	9516
503	9642	9489
504	9649	9458
505	9657	9428
506	9664	9397
507	9671	9366
508	9678	9336
509	9686	9306
510	9693	9275
511	9700	9245
512	9707	9215
513	9715	9186
514	9723	9156
515	9730	9126
516	9739	9099
517	9746	9069
518	9752	9038
519	9760	9009
520	9767	8980
521	9774	8951
522	9782	8922
523	9789	8892
524	9796	8863
525	9803	8834
526	9810	8805
527	9818	8776
528	9825	8748
529	9833	8719
530	9839	8690
531	9846	8662
532	9856	8635
533	9863	8607
534	9871	8579
535	9878	8551
536	9886	8523
537	9893	8496
538	9901	8468
539	9907	8439
540	9914	8411
541	9922	8384
542	9929	8357
543	9936	8329
544	9944	8302
545	9952	8275
546	9960	8249
547	9967	8221
548	9976	8195
549	9983	8168
550	9991	8141
551	9998	8115
552	10006	8088
553	10013	8061
554	10021	8035
555	10028	8008
556	10035	7981
557	10042	7955
558	10050	7928
559	10058	7903
560	10066	7877
561	10074	7851
562	10083	7827
563	10094	7803
564	10110	7784
565	10121	7760
566	10129	7735
567	10138	7710
568	10145	7685
569	10152	7659
570	10159	7633
571	10168	7608
572	10177	7584
573	10187	7560
574	10194	7535
575	10202	7509
576	10210	7485
577	10217	7460
578	10224	7434
579	10231	7409
580	10239	7384
581	10246	7359
582	10254	7334
583	10265	7312
584	10273	7287
585	10282	7264
586	10290	7239
587	10298	7216
588	10306	7191
589	10312	7166
590	10320	7141
591	10329	7119
592	10337	7095
593	10365	7084
594	10386	7070
595	10396	7047
596	10405	7023
597	10418	7003
598	10449	6995
599	10462	6974
600	10472	6952
601	10488	6933
602	10504	6916
603	10521	6898
604	10546	6885
605	10576	6876
606	10597	6861
607	10625	6850
608	10659	6843
609	10685	6831
610	10708	6817
611	10733	6804
612	10742	6782
613	10750	6758
614	10759	6735
615	10768	6712
616	10776	6689
617	10784	6666
618	10793	6643
619	10802	6621
620	10811	6598
621	10821	6576
622	10867	6576
623	10879	6555
624	10894	6536
625	10902	6513
626	10940	6508
627	10991	6511
628	11004	6490
629	11026	6476
630	11040	6456
631	11052	6435
632	11060	6412
633	11068	6389
634	11076	6366
635	11086	6344
636	11093	6321
637	11103	6300
638	11110	6276
639	11118	6254
640	11125	6231
641	11133	6208
642	11140	6185
643	11148	6162
644	11156	6140
645	11164	6118
646	11171	6095
647	11179	6072
648	11186	6049
649	11193	6027
650	11200	6004
651	11207	5981
652	11216	5960
653	11225	5939
654	11235	5917
655	11243	5896
656	11251	5874
657	11259	5852
658	11267	5830
659	11274	5808
660	11281	5785
661	11290	5764
662	11297	5742
663	11306	5721
664	11314	5699
665	11325	5679
666	11333	5658
667	11339	5635
